positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters		
CAIX_CD103_CD11c_CD163_CD20_CD206_CD38_CD4_CD45_CD56_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	FALSE	Macrophages	859	Macrophages		
CAIX_CD103_CD11c_CD163_CD20_CD206_CD4_CD45_CD56_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_MHCII_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	Rpheno_NF	863	Macrophages		
CAIX_CD103_CD11c_CD163_CD20_CD3_CD38_CD56_CD66b_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_PD1_PDL1_TCRd	CD8 T cells	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	NA	51	CD8		
CAIX_CD103_CD11c_CD163_CD206_CD31_CD56_CD66b_CD68_CD73_CLEC9a_IDO_KIR2DL3_LAG3_MCT4_panCK_PDL1_TCRd_TIM3_VISTA	Ambiguous	M2	Ambiguous	Ambiguous	F					
CAIX_CD103_CD11c_CD20_CD3_CD31_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	330	Excluded CD8		
CAIX_CD103_CD11c_CD20_CD3_CD38_CD4_CD45_CD56_CD73_CD79a_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_MHCII_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	CD8 T cells	5710	CD8 T cells	
CAIX_CD103_CD11c_CD20_CD3_CD38_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_MHCII_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	T cells	149	T cells	
CAIX_CD103_CD11c_CD20_CD3_CD56_CD73_CD79a_CLEC9a_GZMB_KIR2DL3_LAG3_panactin_PD1_TCRd_TIM3	B cells	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	T cells	129	T cells	
CAIX_CD103_CD11c_CD20_CD31_CD38_CD45_CD56_CD66b_CD73_CD79a_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_PDL1_TCRd_TIM3_VISTA	B cells	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	B cells	1101	B cells	
CAIX_CD103_CD11c_CD20_CD31_CD38_CD56_CD66b_CD79a_CLEC9a_IDO_KIR2DL3_LAG3_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	B cells	1870	B cells	
CAIX_CD103_CD11c_CD20_CD38_CD4_CD45_CD66b_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_MHCII_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	FastPG_False	B cells	1553	B cells	
CAIX_CD103_CD11c_CD20_CD4_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_MHCII_panactin_PD1_TIM3_VISTA	B cells	Lymphocytes	Ambiguous	Ambiguous	F	NA	495	Excluded Leukocytes		
CAIX_CD103_CD11c_CD20_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_MHCII_panactin_TIM3_VISTA	B cells	mDC	Ambiguous	Ambiguous	F	NA	561	B cells		
CAIX_CD103_CD11c_CD20_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	mDC	Ambiguous	Ambiguous	F					
CAIX_CD103_CD11c_CD20_CD45_CD73_CD79a_CD8a_CLEC9a_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	B cells	mDC	Ambiguous	Ambiguous	FALSE	Epithelial cells	6427	Epithelial cells		
CAIX_CD103_CD11c_CD3_CD38_CD56_CD66b_CD73_CLEC9a_KIR2DL3_LAG3_MCT4_MHCII_panCK_PD1_PDL1_TCRd_TIM3	T cells	Cytotoxic lymphocytes	NA	NA	T	FastPG_False	T cells	188	T cells	
CAIX_CD103_CD11c_CD3_CD56_CD66b_CLEC9a_GZMB_IDO_KIR2DL3_LAG3_MCT4_MHCII_panCK_TCRd_TIM3	Epithelial cells	Cytotoxic lymphocytes	Ambiguous	Ambiguous	F	NA	51	Excluded T cells		
