positivity	majorType	cellType	newMajor	newCellType	Review	Comment	count	clusters
CLEC9a_VISTA_CD56_TIM3_CD45_CD79a_CD38_LAG3	B cells	Plasma cells	NA	NA	TRUE	T	854	B cells
CLEC9a_VISTA_CD56_TIM3_CD79a_PD1_CD73_CD11c_CD38_LAG3_MCT4	B cells	mDC	B cells	Plasma cells	FALSE		32	B cells
KIR2DL3_VISTA_CD56_TIM3_CD45_MHCII_panactin_CD79a_CD14_IDO_CD16_CAIX_CD66b_CD38_LAG3_CD103_MCT4_PDL1	B cells	NK cells	B cells	B cells	FALSE		27	Excluded B cells
MHCII_CD79a_CD11c_CD38	B cells	mDC	B cells	B cell lineage	FALSE	CD11c is noisy	3062	B cells
MHCII_CD79a_CD20	B cells	B cells	NA	NA	TRUE		10654	B cells
MHCII_CD79a_CD20_CD11c	B cells	B cells	NA	NA	TRUE		6777	B cells
MHCII_panactin_CD79a_CD20	B cells	B cells	NA	NA	TRUE		12777	B cells
TIM3	B cells	B cells	NA	NA	TRUE		150	B cells
VISTA_CD56_CD79a_CD38_LAG3	B cells	Plasma cells	NA	NA	TRUE		10950	B cells
VISTA_CD56_TIM3_MHCII_CD79a_CD14_CD20_IDO_CD73_CD11c	B cells	B cells	NA	NA	TRUE		7036	B cells
VISTA_CD79a	B cells	B cell lineage	NA	NA	TRUE		8345	B cells
VISTA_CD79a_CD38	B cells	Plasma cells	NA	NA	TRUE		26865	B cells
VISTA_TIM3_CD45_CD79a_CD73	B cells	B cell lineage	NA	NA	TRUE		103	Excluded Leukocytes
	B cells	B cells	NA	NA	TRUE		16016	B cells
CAIX_CD3_CD4_MCT4	CD4	CD4	NA	NA	T	NA	466	CD4
CD103_CD3_CD4	CD4	CD4 Trm	NA	NA	T	NA	1484	CD4
CD11c_CD14_CD20_CD3_CD4_CD45_CD8a_CLEC9a_IDO_KIR2DL3_LAG3_panactin_PD1_TIM3_VISTA	CD4	mDC	Ambiguous	Ambiguous	F	NA	296	CD4
CD11c_CD3_CD4_CD45_CD8a_IDO_MHCII_panactin	CD4	mDC	CD4	CD4	F	?	7321	CD4
CD16_CD3_CD4	CD4	CD4	NA	NA	T	NA	5131	CD4
CD20_CD3_CD4_CD45_panactin	CD4	B cells	CD4	CD4	F	?	3441	CD4
CD3_CD31_CD4	CD4	Endothelial cells	CD4	CD4	F	NA	2737	CD4
CD3_CD38_CD4	CD4	CD4	NA	NA	T	NA	6767	CD4
CD3_CD4	CD4	CD4	NA	NA	TRUE		60900	CD4
CD3_CD4	CD4	CD4	NA	NA	TRUE		13885	CD4
CD3_CD4_CD103	CD4	CD4 Trm	NA	NA	TRUE		1484	CD4
CD3_CD4_CD45	CD4	CD4	NA	NA	T	NA	6387	CD4
CD3_CD4_CD45_CLEC9a_LAG3_panactin_TIM3_VISTA	CD4	CD4	NA	NA	T	NA	489	Excluded CD4
CD3_CD4_CD45_IDO_MHCII_panactin	CD4	CD4	NA	NA	T	NA	7622	CD4_Excluded CD4
CD3_CD4_CD45_panactin	CD4	CD4	NA	NA	T	NA	193	Excluded CD4
CD3_CD4_CD45_panactin_PD1	CD4	PD1+CD27+ CD4 T cells	CD4	CD4	F	NA	13664	CD4
CD3_CD4_CD45_panactin_TIM3	CD4	CD4	NA	NA	T	NA	13664	CD4
